OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE_CODE,PROVINCE_NAME,HLCIT_DISTRICT_CODE,CBS_DISTRICT_CODE,DISTRICT_PCODE,CBS_LU_CODE,HLCIT_LU_CODE,LU_PCODE
143,Bishnupur Gaunpalika,Saptari,Bishnupur,Gaunpalika,2,2,524215,201,NP0215,20112,524 2 15 4 007,NP0215407
144,Bode Barsain Nagarpalika,Saptari,Bode Barsain,Nagarpalika,2,2,524215,201,NP0215,20109,524 2 15 3 006,NP0215306
145,Chhinnamasta Gaunpalika,Saptari,Chhinnamasta,Gaunpalika,2,2,524215,201,NP0215,20118,524 2 15 4 008,NP0215408
146,Dakneshwori Nagarpalika,Saptari,Dakneshwori,Nagarpalika,2,2,524215,201,NP0215,20110,524 2 15 3 007,NP0215307
147,Hanumannagar Kankalini Nagarpalika,Saptari,Hanumannagar Kankalini,Nagarpalika,2,2,524215,201,NP0215,20116,524 2 15 3 009,NP0215309
148,Kanchanrup Nagarpalika,Saptari,Kanchanrup,Nagarpalika,2,2,524215,201,NP0215,20102,524 2 15 3 005,NP0215305
149,Khadak Nagarpalika,Saptari,Khadak,Nagarpalika,2,2,524215,201,NP0215,20106,524 2 15 3 002,NP0215302
150,Mahadeva Gaunpalika,Saptari,Mahadeva,Gaunpalika,2,2,524215,201,NP0215,20114,524 2 15 4 005,NP0215405
151,Rajbiraj Nagarpalika,Saptari,Rajbiraj,Nagarpalika,2,2,524215,201,NP0215,20113,524 2 15 3 008,NP0215308
152,Rupani Gaunpalika,Saptari,Rupani,Gaunpalika,2,2,524215,201,NP0215,20104,524 2 15 4 001,NP0215401
153,Saptakoshi Nagarpalika,Saptari,Saptakoshi,Nagarpalika,2,2,524215,201,NP0215,20101,524 2 15 3 004,NP0215304
154,Shambhunath Nagarpalika,Saptari,Shambhunath,Nagarpalika,2,2,524215,201,NP0215,20105,524 2 15 3 003,NP0215303
155,Surunga Nagarpalika,Saptari,Surunga,Nagarpalika,2,2,524215,201,NP0215,20107,524 2 15 3 001,NP0215301
156,Tilathi Koiladi Gaunpalika,Saptari,Tilathi Koiladi,Gaunpalika,2,2,524215,201,NP0215,20117,524 2 15 4 009,NP0215409
157,Tirahut Gaunpalika,Saptari,Tirahut,Gaunpalika,2,2,524215,201,NP0215,20115,524 2 15 4 003,NP0215403
158,Koshi Tappu Wildlife Reserve,Saptari,Koshi Tappu Wildlife Reserve,Wildlife Reserve,2,2,524215,,NP0215,,524 2 15 5 995,NP0215595
159,Arnama Gaunpalika,Siraha,Arnama,Gaunpalika,2,2,524216,202,NP0216,20209,524 2 16 4 003,NP0216403
160,Aurahi Gaunpalika,Siraha,Aurahi,Gaunpalika,2,2,524216,202,NP0216,20216,524 2 16 4 004,NP0216404
161,Bariyarpatti Gaunpalika,Siraha,Bariyarpatti,Gaunpalika,2,2,524216,202,NP0216,20215,524 2 16 4 005,NP0216405
162,Bhagawanpur Gaunpalika,Siraha,Bhagawanpur,Gaunpalika,2,2,524216,202,NP0216,20213,524 2 16 4 009,NP0216409
163,Bishnupur Gaunpalika,Siraha,Bishnupur,Gaunpalika,2,2,524216,202,NP0216,20208,524 2 16 4 002,NP0216402
164,Dhangadhimai Nagarpalika,Siraha,Dhangadhimai,Nagarpalika,2,2,524216,202,NP0216,20202,524 2 16 3 004,NP0216304
165,Golbazar Nagarpalika,Siraha,Golbazar,Nagarpalika,2,2,524216,202,NP0216,20203,524 2 16 3 003,NP0216303
166,Kalyanpur Nagarpalika,Siraha,Kalyanpur,Nagarpalika,2,2,524216,202,NP0216,20206,524 2 16 3 006,NP0216306
167,Karjanha Nagarpalika,Siraha,Karjanha,Nagarpalika,2,2,524216,202,NP0216,20205,524 2 16 3 001,NP0216301
168,Lahan Nagarpalika,Siraha,Lahan,Nagarpalika,2,2,524216,202,NP0216,20201,524 2 16 3 005,NP0216305
169,Laxmipur Patari Gaunpalika,Siraha,Laxmipur Patari,Gaunpalika,2,2,524216,202,NP0216,20211,524 2 16 4 006,NP0216406
170,Mirchaiya Nagarpalika,Siraha,Mirchaiya,Nagarpalika,2,2,524216,202,NP0216,20204,524 2 16 3 002,NP0216302
171,Naraha Gaunpalika,Siraha,Naraha,Gaunpalika,2,2,524216,202,NP0216,20207,524 2 16 4 001,NP0216401
172,Nawarajpur Gaunpalika,Siraha,Nawarajpur,Gaunpalika,2,2,524216,202,NP0216,20214,524 2 16 4 007,NP0216407
173,Sakhuwanankarkatti Gaunpalika,Siraha,Sakhuwanankarkatti,Gaunpalika,2,2,524216,202,NP0216,20212,524 2 16 4 008,NP0216408
174,Siraha Nagarpalika,Siraha,Siraha,Nagarpalika,2,2,524216,202,NP0216,20217,524 2 16 3 008,NP0216308
175,Sukhipur Nagarpalika,Siraha,Sukhipur,Nagarpalika,2,2,524216,202,NP0216,20210,524 2 16 3 007,NP0216307
